m1_source,m2_source,dL,z,likelihood,posterior
4.857207194293867047e+00,1.655882235486364040e+00,3.383917388316806409e+02,7.268029557889986447e-02,7.591792266365856819e-06,7.591792266365856819e-06
5.823413600817485936e+00,1.477263827844952804e+00,2.600728199999999788e+02,5.649571226339308860e-02,1.324875609500516074e-05,1.324875609500516074e-05
6.160441263026593006e+00,1.415134234813015590e+00,2.610566194034053638e+02,5.670116724854490364e-02,1.314398449228496892e-05,1.314398449228496892e-05
5.303804375232258117e+00,1.504191262301490584e+00,4.190341003077541018e+02,8.900124451171093076e-02,4.803869124251233454e-06,4.803869124251233454e-06
6.346077179917878119e+00,1.366431369376972738e+00,2.890782035782041248e+02,6.252975710920069541e-02,1.060221874578321031e-05,1.060221874578321031e-05
8.239947720284373389e+00,1.122110474774023592e+00,3.039124600000000100e+02,6.559730693254588185e-02,9.537421117150672546e-06,9.537421117150672546e-06
6.607527408910004674e+00,1.320319918229565070e+00,3.017332999999999856e+02,6.514745447889187802e-02,9.683839554838320844e-06,9.683839554838320844e-06
5.924250432547693457e+00,1.457964971135960131e+00,2.577511368767576982e+02,5.601063559102312933e-02,1.350087787549593788e-05,1.350087787549593788e-05
5.149304799551608802e+00,1.618747339711639199e+00,2.696348800000000097e+02,5.849026464205769188e-02,1.227941537693155285e-05,1.227941537693155285e-05
5.342204716503366591e+00,1.572419268801444447e+00,2.733113914119382457e+02,5.925574116655302898e-02,1.193404337371713886e-05,1.193404337371713886e-05
5.250575545585999926e+00,1.598424734254573432e+00,2.606426299999999969e+02,5.661471810721740300e-02,1.318792561740386663e-05,1.318792561740386663e-05
6.066945958239915448e+00,1.392286309112172882e+00,3.410489600563031445e+02,7.322348542514439673e-02,7.466402540275710598e-06,7.466402540275710598e-06
3.561758963426769231e+00,2.141874609722969947e+00,3.569911500000000046e+02,7.647450020345313015e-02,6.773409935865566409e-06,6.773409935865566409e-06
5.453281135762249932e+00,1.519749284751593654e+00,3.220010104645803040e+02,6.932127853149464003e-02,8.437013270285587249e-06,8.437013270285587249e-06
6.609503739756552143e+00,1.342457619401880242e+00,2.572496300000000247e+02,5.590580999611611396e-02,1.355625509534637842e-05,1.355625509534637842e-05
7.233160824149098111e+00,1.193565762188503632e+00,3.928363418292403821e+02,8.373572293828117352e-02,5.519116786181978179e-06,5.519116786181978179e-06
5.885097536737202262e+00,1.433911082010143723e+00,3.176025489515931781e+02,6.841740403503482337e-02,8.686972534567183961e-06,8.686972534567183961e-06
4.779971888220084786e+00,1.742752376655657631e+00,2.320463000000000022e+02,5.061879388374659200e-02,1.682874451897042981e-05,1.682874451897042981e-05
5.309883712145103019e+00,1.563287653810475630e+00,2.940947688061452823e+02,6.356850519826991175e-02,1.022364281972169096e-05,1.022364281972169096e-05
3.085635806495838462e+00,2.465528691719462095e+00,3.354105500000000006e+02,7.207042809005634321e-02,7.736125194385430536e-06,7.736125194385430536e-06
5.394524088067489842e+00,1.488114569873215665e+00,4.057183499999999867e+02,8.632919314655289333e-02,5.149569619275435436e-06,5.149569619275435436e-06
4.926172938991590478e+00,1.693361676513156944e+00,2.462770062209635000e+02,5.360865361024435422e-02,1.485558154521495577e-05,1.485558154521495577e-05
7.132982724774945105e+00,1.254579068429233502e+00,2.761825799999999731e+02,5.985300843954090982e-02,1.167405673576209167e-05,1.167405673576209167e-05
5.238730353238866044e+00,1.542605165418360347e+00,3.775082300000000259e+02,8.063880335050181702e-02,6.010651198803912304e-06,6.010651198803912304e-06
4.888398077025760458e+00,1.626050086902962377e+00,3.803591099999999869e+02,8.121571048808583215e-02,5.914580330171594151e-06,5.914580330171594151e-06
5.508433214249460974e+00,1.504426675804548141e+00,3.255917292204808291e+02,7.005838603918497498e-02,8.240603235784248656e-06,8.240603235784248656e-06
5.502505784351289897e+00,1.524036265916758559e+00,2.960772699999999986e+02,6.397861800525381226e-02,1.007942775836611359e-05,1.007942775836611359e-05
5.933116870516379926e+00,1.496791969690141277e+00,1.769916031243926398e+02,3.893567526229100434e-02,2.957941916373586181e-05,2.957941916373586181e-05
6.017792374604175265e+00,1.417488162151751663e+00,3.089208329043552794e+02,6.663021212212767719e-02,9.212840646401398295e-06,9.212840646401398295e-06
4.339693642142634644e+00,1.915199095773303606e+00,1.975176099999999906e+02,4.331346250620591448e-02,2.355256942710576284e-05,2.355256942710576284e-05
4.909460247342536832e+00,1.690794862144704425e+00,2.523991560766417024e+02,5.489121522085836646e-02,1.410934619674076422e-05,1.410934619674076422e-05
4.783727327044206667e+00,1.698005046009590790e+00,3.076213792788750538e+02,6.636235201368886893e-02,9.295498487649109617e-06,9.295498487649109617e-06
4.268336084309165557e+00,1.899939162267617609e+00,2.547733200000000124e+02,5.538800390154802883e-02,1.383460013093287202e-05,1.383460013093287202e-05
5.021129410082624922e+00,1.600251274273039481e+00,3.565741800000000126e+02,7.638964435912889983e-02,6.790329245903602166e-06,6.790329245903602166e-06
6.452383376228831402e+00,1.307233546432555515e+00,3.827662902297319079e+02,8.170250691182286140e-02,5.835175169667827539e-06,5.835175169667827539e-06
5.341443824125403417e+00,1.633226624856440878e+00,1.693613900000000001e+02,3.730148297632255444e-02,3.240639442047666774e-05,3.240639442047666774e-05
5.132328979046229200e+00,1.603295352874008373e+00,3.013990600000000200e+02,6.507843170564654722e-02,9.706585157495424278e-06,9.706585157495424278e-06
3.899786170323071399e+00,2.003511909071467034e+00,3.199311999999999898e+02,6.889606710274324974e-02,8.553322691359550409e-06,8.553322691359550409e-06
6.611186852457702656e+00,1.290103699026305284e+00,3.675245221595507132e+02,7.861517531155100269e-02,6.365419419633875732e-06,6.365419419633875732e-06
5.375043354454608568e+00,1.563569136752389177e+00,2.744597999999999729e+02,5.949469138334782803e-02,1.182905469061121784e-05,1.182905469061121784e-05
